x_value,tick,FL0_torque,FR0_torque,RL0_torque,RR0_torque,FL1_torque,FR1_torque,RL1_torque,RR1_torque,FL2_torque,FR2_torque,RL2_torque,RR2_torque,FL0_pos,FR0_pos,RL0_pos,RR0_pos,FL1_pos,FR1_pos,RL1_pos,RR1_pos,FL2_pos,FR2_pos,RL2_pos,RR2_pos
-0.2,1994997,-2.98046875,0.8359375,0.27734375,5.4375,5.23828125,5.36328125,-2.7890625,-3.78515625,21.25,11.640625,9.4921875,10.3515625,0.06420005857944489,-0.07524218410253525,-0.020255515351891518,0.012945311143994331,0.7677519917488098,0.7634841203689575,0.9923756718635559,1.0015182495117188,-1.7083344459533691,-1.6989001035690308,-1.4935767650604248,-1.4797708988189697
0.0,1995047,-6.12109375,-2.76171875,2.171875,9.69140625,11.1875,-2.26953125,1.59375,-3.2890625,22.578125,-0.1953125,2.4609375,9.84375,0.061811093240976334,-0.1209859699010849,-0.019018126651644707,0.020891400054097176,0.782866358757019,0.7468780875205994,1.0199981927871704,1.0195317268371582,-1.7272024154663086,-1.731842279434204,-1.512061357498169,-1.491774320602417
0.0,1995098,-8.109375,-1.48828125,3.4765625,8.23046875,10.69921875,-2.65234375,-2.5234375,-5.234375,21.3671875,-0.15625,0.390625,13.0859375,0.07036974281072617,-0.1796206682920456,-0.005393431521952152,0.02980930730700493,0.8203660249710083,0.6828362941741943,1.0733057260513306,1.0702730417251587,-1.7291582822799683,-1.7303849458694458,-1.5441597700119019,-1.5167014598846436
0.2,1995149,-9.1328125,-1.70703125,1.86328125,8.66796875,9.34765625,-2.1875,0.21484375,-7.5859375,22.421875,-0.4296875,-0.9375,14.140625,0.079236701130867,-0.21282759308815002,0.018660826608538628,0.03726157918572426,0.8594226241111755,0.607055127620697,1.0874764919281006,1.10673987865448,-1.7358310222625732,-1.7291195392608643,-1.5777922868728638,-1.5220320224761963
0.2,1995200,-11.30859375,-1.3359375,2.234375,9.2578125,6.28125,1.46875,0.76953125,-9.86328125,22.34375,-0.078125,-0.078125,12.5390625,0.07920075207948685,-0.2258400022983551,0.04449634999036789,0.03338930383324623,0.905766487121582,0.48671987652778625,1.07790207862854,1.1403309106826782,-1.7398960590362549,-1.7267035245895386,-1.6541078090667725,-1.518235445022583
0.4,1995250,-12.92578125,-0.18359375,3.07421875,8.60546875,4.5,0.09765625,-0.09375,-12.375,27.2265625,1.09375,-0.3125,9.0625,0.07470502704381943,-0.22227932512760162,0.07112830877304077,0.02344212308526039,0.9539912939071655,0.42279279232025146,1.0652669668197632,1.1704235076904297,-1.7398194074630737,-1.722178339958191,-1.7387068271636963,-1.5027422904968262
0.4,1995300,-12.0234375,0.49609375,0.8046875,8.69921875,1.38671875,0.74609375,0.05078125,-12.31640625,26.6015625,8.203125,-0.703125,7.578125,0.052317120134830475,-0.21381817758083344,0.12131824344396591,0.001569541753269732,1.0014358758926392,0.41699928045272827,0.9972363114356995,1.196812391281128,-1.7374416589736938,-1.7087559700012207,-1.7764045000076294,-1.4748622179031372
0.6,1995351,-13.265625,2.85546875,1.1171875,3.5390625,-1.36328125,5.01171875,-1.54296875,-13.03125,23.125,16.484375,-0.625,5.390625,0.04462543874979019,-0.22857186198234558,0.14331553876399994,-0.005030753090977669,1.0404188632965088,0.5114560127258301,0.8569186329841614,1.2275776863098145,-1.6992456912994385,-1.759760856628418,-1.7771714925765991,-1.4289578199386597
0.6,1995404,2.734375,6.2109375,-10.00390625,-1.61328125,-5.78125,11.88671875,6.484375,-14.2734375,4.4140625,18.1640625,3.0078125,0.1171875,0.03584182262420654,-0.22613905370235443,0.09591402113437653,-0.0075599723495543,1.0607436895370483,0.6211467385292053,0.6730493307113647,1.2832441329956055,-1.6065163612365723,-1.7584185600280762,-1.7560791969299316,-1.379372000694275
0.8,1995455,2.109375,7.609375,-11.49609375,-1.2421875,-0.96875,10.640625,2.421875,-15.28125,0.9375,22.9296875,14.53125,0.390625,0.14295661449432373,-0.18451838195323944,-0.01947654038667679,0.012825468555092812,1.0028407573699951,0.7031866908073425,0.7089629173278809,1.3018877506256104,-1.7326481342315674,-1.7500200271606445,-1.6438684463500977,-1.2990680932998657
